class_label,hex_id,imgs_per_cell,latitude_mean,longitude_mean
0,474,869,47.937346363636365,16.010903262370544
1,35,1120,27.968128191071465,120.91318636785701
2,15,469,34.95337973773989,30.786811537313426
3,0d,1185,39.73018339831221,-5.224730525738398
4,13,1116,41.907299807347776,8.19423211469534
5,884,1498,40.86252357610149,-84.7531689966623
6,6b,435,-33.90547234712642,148.20184137011503
7,80d,773,34.08585320181118,-117.33264371668805
8,4874,1380,51.523216756521734,-0.8178520326086965
9,87,1526,35.52337429226738,-99.50106604521635
10,55,973,47.36528052004114,-122.66763268345328
11,89b,687,38.238022489083,-77.21259710480349
12,464,442,58.31133728054296,12.978443083710399
13,6d,118,-39.38398771186439,174.3766716779661
14,89d,1339,40.890486831217416,-74.9466889417476
15,19,51,-5.8832195294117655,34.328619960784316
16,486c,160,51.10873886875002,-3.986732800000001
17,4864,144,53.61251157638888,-5.537536826388891
18,88c,686,29.927446905247788,-82.77192605247805
19,3b,116,14.038732370689665,77.55609705172411
20,485,63,52.8051846031746,-8.434755888888885
21,31,446,9.21320588116592,102.67330442825113
22,53,337,48.34486138278936,-105.20083828189904
23,4d,346,45.21147320231213,-74.68820517341035
24,809,1196,37.7814578143813,-122.00840986371236
25,61,611,35.49166190016369,138.61142653191476
26,47d,1054,51.6693373728652,3.647756143263757
27,479,871,46.99179012284724,8.559467921928817
28,46c,253,58.84200116600791,25.700768221343857
29,01,62,-22.568163193548383,-43.363891951612906
30,47f,518,48.34360662934365,2.563901380308882
31,48c,345,57.51811239999998,-5.831072663768119
32,85,163,18.90595877300613,-98.55774487116565
33,89f,455,42.19079976263736,-71.54109404615389
34,39,126,28.4006713015873,78.39076326984129
35,7d,79,21.475571518987344,-158.15178687341768
36,41,91,45.906703,33.86442475824175
37,5f,100,40.13511555000001,138.04848063999995
38,47b,677,51.99750359231904,10.328217209748889
39,97,111,-33.70772361261262,-70.98129482882881
40,8d,86,14.55957427906977,-63.178341267441866
41,3f,62,27.270166112903222,54.31146556451613
42,487c,545,53.722306500917455,-1.772585752293579
43,481,120,47.69256024999999,-1.910204233333334
44,07,76,-10.374986473684215,-38.16691019736843
45,95,289,-27.97403601730106,-52.44186603806228
46,8f,343,12.473416320699704,-80.07828679008749
47,91,95,-10.074621778947371,-74.79178262105262
48,80f,68,34.77983850000002,-119.80696320588237
49,2d,57,-9.346470210526315,121.4285917719298
50,37,83,28.584922819277107,103.7558809759036
51,33,63,9.928136031746028,122.24779349206352
52,2b,71,-30.080234802816904,118.08957676056338
