class_label,hex_id,imgs_per_cell,latitude_mean,longitude_mean
0,13,1116,41.907299807347776,8.19423211469534
1,89,4694,38.93457793374526,-79.23673335854299
2,81,2059,36.28779973190872,-120.12199658280687
3,47,4684,50.800986404141845,9.772112860589255
4,49,2760,52.66470360942031,-2.305693334420289
5,8f,343,12.473416320699704,-80.07828679008749
6,87,1526,35.523374292267384,-99.50106604521635
7,35,1120,27.968128191071468,120.91318636785701
8,0d,1185,39.73018339831221,-5.224730525738398
9,3f,62,27.270166112903222,54.311465564516126
10,15,469,34.95337973773989,30.786811537313426
11,97,111,-33.70772361261262,-70.98129482882881
12,7d,79,21.475571518987344,-158.15178687341768
13,95,289,-27.974036017301056,-52.44186603806229
14,2b,71,-30.080234802816904,118.08957676056336
15,53,337,48.34486138278936,-105.20083828189904
16,6b,435,-33.905472347126434,148.20184137011506
17,61,611,35.49166190016369,138.61142653191476
18,2d,57,-9.346470210526315,121.42859177192977
19,31,446,9.21320588116592,102.67330442825113
20,55,973,47.36528052004114,-122.66763268345325
21,4d,346,45.21147320231212,-74.68820517341035
22,39,126,28.4006713015873,78.39076326984129
23,37,83,28.584922819277107,103.7558809759036
24,41,91,45.906703000000014,33.86442475824175
25,5f,100,40.13511555000001,138.04848063999998
26,07,76,-10.374986473684212,-38.16691019736843
27,33,63,9.928136031746028,122.24779349206352
28,3b,116,14.038732370689665,77.55609705172411
29,6d,118,-39.38398771186439,174.3766716779661
30,85,163,18.90595877300613,-98.55774487116565
31,91,95,-10.074621778947371,-74.79178262105265
32,8d,86,14.55957427906977,-63.178341267441866
33,01,62,-22.568163193548383,-43.363891951612906
34,19,51,-5.8832195294117655,34.328619960784316
